verb,0 или 1
наступить,0
препятствовать,0
финансировать,0
скрывать,0
отражать,0
подвести,0
находить,0
терять,0
ужесточить,1
увеличиваться,0
употреблять,0
предпринимать,0
разрешать,0
выслать,0
повышать,0
заинтересоваться,0
присудить,0
приказать,1
спрятать,0
нравиться,0
побить,1
отвести,0
выигрывать,1
опередить,0
обмануть,1
почувствовать,0
подключить,0
забыть,0
увеличивать,0
заслужить,1
решиться,0
схватить,0
сэкономить,0
казнить,1
пресечь,0
противостоять,0
оккупировать,1
закрывать,0
избивать,1
уведомить,0
украсить,0
проинформировать,0
вспомнить,0
похоронить,1
обезвредить,1
предпочесть,0
разворачиваться,0
снижать,0
достать,0
изложить,0
задерживать,0
понизить,0
сомневаться,0
отслеживать,0
вырастить,0
заканчиваться,0
помнить,0
держаться,0
провалиться,0
заболеть,1
вытащить,0
сражаться,0
утратить,0
воспринять,0
интересоваться,0
ухудшиться,1
прекратиться,0
разогнать,0
приветствовать,0
изнасиловать,1
окружить,0
отразить,0
заминировать,1
повыситься,0
скрыть,0
востребовать,0
сбросить,0
опережать,0
формировать,0
санкционировать,0
побеждать,1
информировать,0
укрепить,0
вспыхнуть,0
переиграть,0
родить,0
подписывать,0
запускать,0
оскорблять,1
отравиться,1
свергнуть,1
поверить,0
обеспокоить,0
задеть,0
везти,0
постараться,0
проигнорировать,0
обогнать,0
завысить,0
доверять,1
оскорбить,1
выработать,0
бросать,0
депортировать,1
объединиться,0
советовать,0
обязывать,0
перехватить,0
отбить,0
взяться,0
прекращать,0
анализировать,0
отравить,1
посетовать,0
отстаивать,1
уважать,1
сокращать,0
доложить,0
научить,0
воспринимать,0
усомниться,0
развернуться,0
заслуживать,1
разбираться,0
ратифицировать,0
уничтожать,1
прибавить,0
рисковать,0
подъехать,0
зарезать,1
инкриминировать,0
выгнать,1
модернизировать,1
наступать,0
руководствоваться,0
осуждать,1
отомстить,1
душить,1
побороться,0
колебаться,0
сокращаться,0
болеть,0
броситься,0
смягчить,0
игнорировать,0
спастись,1
испортить,0
отрезать,0
проигрывать,1
освещать,0
занизить,0
испугаться,0
поражать,0
умирать,1
превосходить,1
завязаться,0
терпеть,1
пошутить,0
шокировать,0
догнать,0
останавливаться,0
разъяснить,0
вдохновить,1
усовершенствовать,0
приняться,0
возлюбить,1
наброситься,1
напугать,1
патрулировать,0
завладеть,0
разразиться,0
полагаться,0
упустить,0
помиловать,1
спасать,1
организовывать,0
проникать,0
нарастить,0
поссориться,1
спасть,0
вспоминать,0
прорвать,0
усилиться,0
гордиться,1
ловить,0
учить,0
одобрять,1
поинтересоваться,0
профинансировать,0
разочаровать,1
превзойти,1
улучшиться,1
порекомендовать,0
провоцировать,0
отказывать,0
повышаться,0
драться,1
урезать,0
ослабить,0
сожалеть,1
удвоить,0
доминировать,0
пасть,0
повезти,0
проложить,0
хорошеть,1
экономить,0
беспокоить,1
прекращаться,0
вступиться,0
оговорить,0
обокрасть,1
презентовать,0
преподавать,0
повесить,0
выдворить,1
соглашаться,0
наехать,0
забывать,0
избавить,0
договариваться,0
обвалиться,0
проследить,0
разрешаться,0
наращивать,0
исчерпать,1
вытеснить,0
усмотреть,0
возрастать,0
осознать,0
пропагандировать,0
завершаться,0
похищать,1
воссоздать,0
отравлять,1
поведать,0
привыкнуть,0
возводить,0
просмотреть,0
похвалить,1
выгореть,1
содействовать,0
освобождать,1
молиться,0
посеять,0
осложнить,0
травмировать,1
воровать,1
обстреливать,1
предостеречь,0
порочить,1
освоить,0
останавливать,0
отстоять,0
удариться,0
укрепиться,0
опускаться,0
сломаться,0
захватывать,0
вторгнуться,1
захоронить,0
понизиться,0
эксплуатировать,0
поздравлять,1
усиливать,0
израсходовать,0
упрекнуть,1
пытать,1
отыскать,0
возобновлять,0
расстроить,1
дискредитировать,1
генерировать,0
распоряжаться,0
выращивать,0
бастовать,1
пугать,1
подрывать,1
злоупотреблять,1
достроить,0
толкнуть,1
разглядеть,0
арестовывать,1
уменьшаться,0
дорожать,0
зажечь,0
ужесточать,1
отступить,0
разрушать,1
дестабилизировать,1
разоблачить,1
обезглавить,1
велеть,1
отбросить,0
разыскать,0
изгнать,1
воссоединиться,1
застать,0
укреплять,0
исчезать,0
вырабатывать,0
ухудшить,1
дарить,1
приостанавливать,0
уклоняться,1
забрасывать,0
украшать,0
изготавливать,0
затормозить,0
шутить,0
увлекаться,0
воспрепятствовать,1
утерять,0
известить,0
преобладать,0
браться,0
побудить,0
штурмовать,1
ценить,1
оправдывать,0
осознавать,0
конфликтовать,1
оптимизировать,1
вынуждать,1
подтолкнуть,0
ухудшаться,1
чаять,0
сопротивляться,1
волновать,0
прятать,0
нейтрализовать,1
забивать,0
расправиться,1
смеяться,0
соорудить,0
поспособствовать,0
насиловать,1
издеваться,1
беспокоиться,0
отследить,0
осквернить,1
расширяться,0
обманывать,1
плакать,1
развить,0
переть,0
винить,1
раскаяться,1
настать,0
воспроизводить,0
обходить,0
ломать,1
донести,0
сразиться,0
навредить,1
звереть,1
враждовать,1
раздражать,1
обезопасить,1
оттеснить,0
ненавидеть,1
присуждать,0
благодарить,1
спасаться,1
давить,0
осваивать,0
уменьшать,0
прогнать,0
грабить,1
развалиться,0
вредить,1
переставать,0
подбросить,0
посмеяться,0
затратить,0
подводить,1
угодить,0
унижать,1
перерезать,1
сбрасывать,0
озаботить,0
оповестить,0
спонсировать,0
похвастаться,0
загрязнить,0
улыбаться,0
развести,0
обновлять,0
одолеть,1
укоротить,0
портить,0
приступать,0
покорить,0
обидеться,0
улучшать,1
консультировать,0
объединяться,0
заступиться,0
высылать,0
поощрять,1
уклониться,0
пресекать,0
усиливаться,0
запугать,1
заехать,0
бомбить,1
консолидировать,0
красть,1
вымереть,1
перекрывать,0
адаптироваться,0
породить,0
завоёвывать,1
укрепляться,0
разграбить,1
окончиться,0
экстрадировать,0
обогатить,0
лишаться,0
соблюсти,0
употребить,0
кидать,0
разгонять,0
присваивать,0
предотвращать,0
порадовать,1
уведомлять,0
ругаться,0
осложнять,0
разбомбить,1
ущемлять,1
радоваться,0
завязать,0
радовать,0
кинуть,0
дружить,0
отогнать,0
недооценить,0
выдумать,0
воспроизвести,0
отступать,0
выловить,0
царить,0
усугубить,1
уложить,0
пожалеть,0
подбить,0
тормозить,0
обидеть,1
сконструировать,0
принуждать,1
подставить,0
прерывать,0
задавить,1
противодействовать,0
осадить,0
упрекать,0
обосноваться,0
расходовать,0
осветить,0
жалеть,0
шантажировать,1
навязать,0
развиться,0
срывать,0
потрясти,0
сочувствовать,0
рождаться,0
раздавить,0
загрязнять,0
заесть,0
навязывать,1
удвоиться,0
лоббировать,0
почитать,0
потрясать,0
придумывать,0
потеплеть,0
тянуть,0
доставать,0
взрывать,1
расстреливать,1
толкать,0
разжигать,0
принудить,1
хоронить,0
волноваться,0
разоружить,0
подкупить,0
окружать,0
субсидировать,0
расшириться,0
надоесть,0
мстить,1
творить,1
вызволить,1
выкрасть,1
затребовать,0
разозлиться,0
агитировать,0
загнать,0
лгать,1
увлечься,0
иллюстрировать,0
угадать,0
кончиться,0
скорбеть,0
ассистировать,0
озаботиться,0
взламывать,0
улучшаться,1
завышать,0
расколоть,0
подключать,0
прострелить,0
приостанавливаться,0
парировать,0
переоценить,0
трактовать,0
докладывать,0
прихватить,0
зацепить,0
бушевать,0
подыскать,0
ослабнуть,0
вдохновлять,0
истолковать,0
разочароваться,0
наслаждаться,0
присягнуть,0
сочинить,0
разбивать,0
преувеличить,0
травить,1
задохнуться,0
разъяснять,0
громить,0
добить,0
грозиться,0
свалиться,0
отбиться,0
зародиться,0
затеять,0
обворовать,0
понадеяться,0
припомнить,0
отодвинуть,0
выследить,0
рожать,0
сетовать,0
обгонять,0
подружиться,1
понижать,0
отпугнуть,0
порождать,0
постичь,0
встревожить,0
подыскивать,0
образовываться,0
погубить,1
пресмыкаться,1
унизить,1
поклясться,0
врать,0
восстать,0
огорчить,0
форсировать,0
обрадоваться,0
нервничать,0
испортиться,1
сторожить,0
проиллюстрировать,0
скатиться,0
присматривать,0
запугивать,1
перебить,0
надругаться,1
обыгрывать,0
страховать,0
потеснить,0
вытаскивать,0
настигнуть,0
благословить,0
отклонять,0
первенствовать,0
бросаться,0
полюбить,0
занижать,0
оборваться,0
проконсультироваться,0
мочить,0
совершенствовать,1
заливать,0
обозвать,0
взволновать,0
симпатизировать,0
консультироваться,0
загрызть,0
взбунтоваться,0
разгневать,1
пренебрегать,0
излагать,0
поругаться,0
потянуть,0
резать,0
подталкивать,0
выгонять,0
выкопать,0
прибавиться,0
расстроиться,0
повелеть,0
побояться,0
вторгаться,0
усугублять,0
раскопать,0
подсказать,0
терроризировать,1
нормализовать,0
усматривать,0
повздорить,0
предостерегать,0
ослаблять,0
поправиться,0
опорочить,0
утащить,0
раскаиваться,1
отделать,0
вешать,0
разложить,0
побуждать,0
изуродовать,1
освистать,0
стучать,0
зарубить,0
тащить,0
извинить,1
подъезжать,0
подложить,0
беречь,0
апеллировать,0
оповещать,0
красить,0
недооценивать,0
поощрить,0
побороть,0
расплакаться,0
расколоться,0
выпалить,0
разминировать,0
возобновляться,0
обогащать,0
поискать,0
ссориться,0
посоветоваться,0
искоренить,0
сплотить,1
истратить,0
хвастаться,0
приговаривать,0
впечатлить,0
укрывать,0
отпугивать,0
вытеснять,0
изыскать,0
кинуться,0
испугать,0
деформировать,0
рваться,0
прогрессировать,1
приспособиться,0
выздороветь,0
отвоевать,1
приказывать,1
плюнуть,0
рискнуть,0
изобличить,0
надлежать,0
порадоваться,0
развозить,0
пренебречь,0
влюбляться,1
разнести,0
воздвигнуть,0
понаблюдать,0
разорить,1
